"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work","08-Jul-2024","09-Jul-2024","497185","Physical Inspection"
"2","Trust and Society","WS/	 MP620/2025-2026/133167-Construction of rooms and halls in school and colleges","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work","08-Jul-2024","18-Sep-2025","500000","Sanction"
"3","Trust and Society","WS/	 MP620/2024-2025/133190-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad","08-Jul-2024","23-Sep-2024","450000","Sanction"
"4","Normal/Others","WS/	 MP620/2025-2026/133191-Construction of buildings for community cultural activities","Karnataka","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ","08-Jul-2024","29-May-2025","1500000","Work partially Completed"
"5","Normal/Others","WS/	 MP620/2024-2025/133301-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202","09-Jul-2024","22-Aug-2024","398009","Physical Inspection"
"6","Normal/Others","WS/	 MP620/2024-2025/133303-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151","09-Jul-2024","25-Jul-2024","399104","Physical Inspection"
"7","Normal/Others","WS/	 MP620/2024-2025/133304-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96","09-Jul-2024","22-Aug-2024","396154","Physical Inspection"
"8","Normal/Others","WS/	 MP620/2025-2026/133305-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work","09-Jul-2024","03-Jun-2025","400000","Sanction"
"9","Normal/Others","WS/	 MP620/2024-2025/133306-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2","09-Jul-2024","14-Mar-2025","495627","Physical Inspection"
"10","Normal/Others","WS/	 MP620/2024-2025/133307-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319","09-Jul-2024","17-Aug-2024","398955","Physical Inspection"
"11","Normal/Others","WS/	 MP620/2024-2025/133308-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67","09-Jul-2024","17-Aug-2024","399304","Physical Inspection"
"12","Normal/Others","WS/	 MP620/2024-2025/133309-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work","09-Jul-2024","14-Mar-2025","495031","Physical Inspection"
"13","Normal/Others","WS/	 MP620/2024-2025/133310-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107","09-Jul-2024","22-Aug-2024","247583","Physical Inspection"
"14","Normal/Others","WS/	 MP620/2024-2025/133311-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A","09-Jul-2024","22-Aug-2024","250000","Sanction"
"15","Normal/Others","WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34","09-Jul-2024","25-Jul-2024","498091","Physical Inspection"
"16","Normal/Others","WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Pradeep Kumar Singh","ARARIA","PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.","12-Jul-2024","14-Jul-2024","448127","Physical Inspection"
"17","Normal/Others","WS/MP498/2024-2025/133447-Construction of culverts and bridges","West Bengal","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","Phage 2: Concrete R.C.C. bridge","13-Jul-2024","07-Aug-2024","1602957","Physical Inspection"
